y_true,log_reg_prob,gb_prob,action
0,0.4063380998669775,0.2982569118092769,flag_for_review
0,0.2694033153057518,0.322562685295233,flag_for_review
0,0.0294701597279164,0.0598637096091678,auto_approve
0,0.623728382566438,0.5060174952660687,flag_for_review
0,0.2020353134348106,0.1238472905854194,flag_for_review
0,0.1782065336230958,0.1628876345467529,flag_for_review
0,0.147551456772491,0.2139240676750056,auto_approve
0,0.2872513363141601,0.3036865174856236,flag_for_review
0,0.0733800320795938,0.0860825563427793,auto_approve
0,0.2423535744700426,0.2299352309867104,flag_for_review
0,0.0308197929903171,0.03526122568992,auto_approve
0,0.2416395334056932,0.2250853948103285,flag_for_review
0,0.3416605682041612,0.2627616147099261,flag_for_review
0,0.0395729365582368,0.0488407948921377,auto_approve
0,0.2176611488394281,0.2297038325648171,flag_for_review
1,0.6747153101647336,0.6377506029436845,flag_for_review
0,0.0379219240487375,0.0273354181519384,auto_approve
0,0.0388152291885534,0.0506292755351316,auto_approve
0,0.0578167805498503,0.0550694031695324,auto_approve
0,0.3379772639207415,0.3123099606112006,flag_for_review
1,0.3592995027676723,0.246028640356121,flag_for_review
0,0.0850085735286661,0.0761721212245687,auto_approve
1,0.1899792593951904,0.1783310156416026,flag_for_review
1,0.3957972971374192,0.2942965804360336,flag_for_review
0,0.1721117837632697,0.2000811987207081,flag_for_review
0,0.2604679583768216,0.2364775736195783,flag_for_review
0,0.2704941061855799,0.1914645099442287,flag_for_review
0,0.0518184005837509,0.0492976857698163,auto_approve
0,0.153266935626321,0.1061090124557866,auto_approve
0,0.1370904111240503,0.1314207688999932,auto_approve
1,0.260782550806472,0.2628400440937599,flag_for_review
0,0.053983507519103,0.1931947383130087,auto_approve
0,0.3247988070733741,0.2897389928669248,flag_for_review
0,0.0759373854666578,0.117932264016374,auto_approve
0,0.0286117591560397,0.0261823383189159,auto_approve
0,0.2307488997600087,0.2150011815102298,flag_for_review
0,0.1011527091808597,0.1525173724374781,auto_approve
0,0.1178097026016215,0.1178527489124898,auto_approve
0,0.0310491061816246,0.0285187782635498,auto_approve
1,0.1620404308315048,0.1878802335876674,flag_for_review
0,0.0056880057233459,0.024133235507966,auto_approve
