order_id,customer_id,risk_probability,action_taken,explanation,decision_threshold_used,model_version,timestamp
166f9ea3-81ff-4a41-b1d7-077949252faa,85fb6dde-4673-4009-b279-08f034a747e3,0.4063,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, tier3 delivery area",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
40f4084b-5ff7-4e1b-abba-b91535eccdd1,99e318ff-1a69-4f68-addf-975990bd0414,0.2694,flag_for_review,"Elevated risk driven by: COD payment, home category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
c03a3309-dfc4-4df6-a026-018c547198df,16ddae25-3f28-41d0-8a77-c8c87723adfa,0.0295,auto_approve,Elevated risk driven by: home category,0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
4e84440d-dbc8-44ef-927f-4437b8ac2797,eb07b44d-b3fe-4da4-86bc-808ae9a3182b,0.6237,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, large discount",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
2f7bf757-0e61-458b-a37f-aabc5de68ebd,a2a6e4a7-73f0-4f60-8023-1d364c305e4d,0.202,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
82b6d521-d3d9-475c-b5bc-e91f7f68a0a8,24dc633c-de4a-4152-ae24-3e42211235f1,0.1782,flag_for_review,"Elevated risk driven by: COD payment, home category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
a0b3a541-1c91-4ea9-b495-85137981b4de,06685c5f-2341-4003-97cd-809136d21d44,0.1476,auto_approve,"Elevated risk driven by: COD payment, large discount, customer's return history",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
8e6b2c40-06bd-4f3a-846d-e8024acfaf74,b409e3d7-b9a4-422f-952f-eaf1d5521144,0.2873,flag_for_review,"Elevated risk driven by: customer's return history, COD payment, home category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
af70132a-c389-42a9-95d3-426393e825f3,a6256430-3c71-4085-bbd4-f11ec5db53de,0.0734,auto_approve,Elevated risk driven by: unusually low order value,0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
05f912bd-aaf5-49d7-8c93-ef968a40d6dc,ac8ee436-067a-4aac-8496-8e40cfb19bfd,0.2424,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
92754f2c-f6d3-42ac-90e5-bb2d7c4f7ee8,a4db88e6-ae16-4748-b823-872ab1d4baca,0.0308,auto_approve,Elevated risk driven by: home category,0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
e945f945-f5f8-464b-9ddd-4d1806963f4f,059cd0cd-c524-403d-90a7-aa5e9d51749d,0.2416,flag_for_review,"Elevated risk driven by: COD payment, tier3 delivery area, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
9e696758-aec4-4995-b76f-b364132e16ce,3b49789c-945c-4714-a699-87e36fa56daa,0.3417,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
a47fb112-ac83-4b03-9c5d-ff9cba4d61dd,ef0ff2d2-35b5-48b5-b806-a1f742caa3de,0.0396,auto_approve,"Elevated risk driven by: no prior return history available, first-time buyer, beauty category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
31f662c6-69e7-4ee3-bd88-baf6f07831a9,573ef44a-b7bb-44cb-ae0d-923c3a996227,0.2177,flag_for_review,"Elevated risk driven by: COD payment, large discount, customer's return history",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
a72b4e46-ff73-4817-a07b-85650eb51518,ed0d4cec-07d4-440d-a77d-2f0af2663244,0.6747,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, COD payment",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
260a277c-93da-4ea6-9ae7-1b382aa88126,b209d179-6418-4f8c-bd42-8e4f831f0776,0.0379,auto_approve,"Elevated risk driven by: unusually low order value, customer's return history, large discount",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
229f0e70-4541-43ab-b72e-bbcc035f8dc9,c3f1cc06-68c1-442a-b18b-6338217bcf62,0.0388,auto_approve,Elevated risk driven by: beauty category,0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
e5ff0257-6f93-45bd-a4ac-f6a8de00e022,a3430c85-65c8-4f9b-82e9-f40624864565,0.0578,auto_approve,"Elevated risk driven by: COD payment, large discount, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
e96ade1e-9486-4436-b3cf-66cfe493ea50,3f6b91e9-96c3-4fc7-8a88-dd310964eed1,0.338,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
ad316e80-ec05-4bff-bebc-236e7bca7155,10546d08-1053-4bf0-976f-4c40b2dcb1c8,0.3593,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
167c5eb4-5c22-456b-9b13-e164002d980f,10546d08-1053-4bf0-976f-4c40b2dcb1c8,0.085,auto_approve,"Elevated risk driven by: home category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
97fad977-a88f-43ad-afaf-495dc6733459,f9691f62-eba3-4973-ac0d-3de0ec286d88,0.19,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
9a7c677f-c26b-4523-8121-45e6d5e3f831,8f7406c2-6849-4d3e-92b7-6e3b17489d67,0.3958,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, customer's return history",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
0ddb85f7-b43f-4405-9848-56c317ac9704,b7fee608-f381-4167-a173-bf1ad38bdb79,0.1721,flag_for_review,"Elevated risk driven by: COD payment, large discount, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
b7494791-e37a-4b11-b2e4-858ef295b593,584f334e-48dd-4f27-a4f0-094f67166b6e,0.2605,flag_for_review,"Elevated risk driven by: large discount, unusually low order value, fashion category",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
321e40b2-5b10-4c8e-a3e3-2319ccc37ea9,ac8ee436-067a-4aac-8496-8e40cfb19bfd,0.2705,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, large discount",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
897d52f4-97c8-4fc0-a958-b769e687836e,b86ee3a9-928c-4ec5-8783-0beb41950f27,0.0518,auto_approve,"Elevated risk driven by: large discount, tier3 delivery area, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
300fd9d5-feec-4466-b815-742c43aec740,7226a281-8501-4f86-91cc-afa9ca3514d0,0.1533,auto_approve,"Elevated risk driven by: customer's return history, home category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
0af86896-196a-49b0-a260-5199affa097c,4098d612-8245-4c3b-a1f0-2fc74fb77ef2,0.1371,auto_approve,"Elevated risk driven by: tier3 delivery area, beauty category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
ed21b808-b7aa-4fc8-9cb7-11e63547e252,d3db41bc-bf8f-46e0-94b1-984f27ff9af2,0.2608,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
7eff120d-2dda-465c-8670-76b4c73986cf,fd788034-3caa-492f-9c7e-57dee41c5244,0.054,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value",0.16,logreg_v1_step2,2026-09-04T04:38:57.345330+00:00
