y_true,log_reg_prob,gb_prob,action,explanation
0,0.406338099866977,0.2982569118092769,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, tier3 delivery area"
0,0.2694033153057522,0.322562685295233,flag_for_review,"Elevated risk driven by: COD payment, home category, unusually low order value"
0,0.0294701597279164,0.0598637096091678,auto_approve,"Elevated risk driven by: home category, grocery category, metro delivery area"
0,0.6237283825664374,0.5060174952660687,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, large discount"
0,0.2020353134348107,0.1238472905854194,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, UPI payment"
0,0.178206533623096,0.1628876345467529,flag_for_review,"Elevated risk driven by: COD payment, home category, UPI payment"
0,0.1475514567724909,0.2139240676750056,auto_approve,"Elevated risk driven by: COD payment, large discount, UPI payment"
0,0.2872513363141601,0.3036865174856236,flag_for_review,"Elevated risk driven by: customer's return history, COD payment, home category"
0,0.0733800320795939,0.0860825563427793,auto_approve,"Elevated risk driven by: unusually low order value, grocery category, metro delivery area"
0,0.2423535744700428,0.2299352309867104,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category"
0,0.0308197929903171,0.03526122568992,auto_approve,"Elevated risk driven by: home category, UPI payment, grocery category"
0,0.2416395334056928,0.2250853948103285,flag_for_review,"Elevated risk driven by: COD payment, tier3 delivery area, unusually low order value"
0,0.3416605682041613,0.2627616147099261,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category"
0,0.0395729365582369,0.0488407948921377,auto_approve,"Elevated risk driven by: known return history, first-time buyer, beauty category"
0,0.2176611488394282,0.2297038325648171,flag_for_review,"Elevated risk driven by: COD payment, large discount, customer's return history"
1,0.6747153101647335,0.6377506029436845,flag_for_review,"Elevated risk driven by: customer's return history, size-dependent item, COD payment"
0,0.0379219240487375,0.0273354181519384,auto_approve,"Elevated risk driven by: unusually low order value, customer's return history, large discount"
0,0.0388152291885535,0.0506292755351316,auto_approve,"Elevated risk driven by: beauty category, UPI payment, grocery category"
0,0.0578167805498503,0.0550694031695324,auto_approve,"Elevated risk driven by: COD payment, large discount, UPI payment"
0,0.3379772639207416,0.3123099606112006,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, fashion category"
1,0.3592995027676725,0.246028640356121,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, unusually low order value"
0,0.0850085735286662,0.0761721212245687,auto_approve,"Elevated risk driven by: home category, unusually low order value, grocery category"
1,0.1899792593951904,0.1783310156416026,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category"
1,0.3957972971374193,0.2942965804360336,flag_for_review,"Elevated risk driven by: size-dependent item, large discount, customer's return history"
0,0.1721117837632696,0.2000811987207081,flag_for_review,"Elevated risk driven by: COD payment, large discount, unusually low order value"
0,0.2604679583768218,0.2364775736195783,flag_for_review,"Elevated risk driven by: large discount, unusually low order value, fashion category"
0,0.2704941061855799,0.1914645099442287,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, large discount"
0,0.0518184005837508,0.0492976857698163,auto_approve,"Elevated risk driven by: large discount, tier3 delivery area, unusually low order value"
0,0.1532669356263209,0.1061090124557866,auto_approve,"Elevated risk driven by: customer's return history, home category, unusually low order value"
0,0.1370904111240502,0.1314207688999932,auto_approve,"Elevated risk driven by: tier3 delivery area, beauty category, unusually low order value"
1,0.260782550806472,0.2628400440937599,flag_for_review,"Elevated risk driven by: size-dependent item, fashion category, unusually low order value"
0,0.053983507519103,0.1931947383130087,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value, grocery category"
0,0.3247988070733741,0.2897389928669248,flag_for_review,"Elevated risk driven by: size-dependent item, COD payment, unusually low order value"
0,0.075937385466658,0.117932264016374,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value, UPI payment"
0,0.0286117591560397,0.0261823383189159,auto_approve,"Elevated risk driven by: customer's return history, unusually low order value, metro delivery area"
0,0.2307488997600088,0.2150011815102298,flag_for_review,"Elevated risk driven by: size-dependent item, unusually low order value, fashion category"
0,0.1011527091808598,0.1525173724374781,auto_approve,"Elevated risk driven by: large discount, home category, UPI payment"
0,0.1178097026016216,0.1178527489124898,auto_approve,"Elevated risk driven by: unusually low order value, home category, UPI payment"
0,0.0310491061816245,0.0285187782635498,auto_approve,"Elevated risk driven by: unusually low order value, tier3 delivery area, customer's return history"
1,0.1620404308315045,0.1878802335876674,flag_for_review,"Elevated risk driven by: unusually low order value, home category, tier3 delivery area"
0,0.0056880057233459,0.024133235507966,auto_approve,"Elevated risk driven by: electronics category, card payment"
0,0.1038239880175012,0.1067696998266244,auto_approve,"Elevated risk driven by: large discount, fashion category, unusually low order value"
0,0.2069804876680007,0.1441755565765902,flag_for_review,"Elevated risk driven by: COD payment, known return history, first-time buyer"
0,0.0657402329609419,0.1104108609955468,auto_approve,"Elevated risk driven by: large discount, unusually low order value, grocery category"
0,0.0290065681325431,0.0599562294167477,auto_approve,"Elevated risk driven by: UPI payment, grocery category, metro delivery area"
0,0.0772714426840229,0.0725312439882473,auto_approve,"Elevated risk driven by: fashion category, grocery category, electronics category"
0,0.1332054158525393,0.1296457375710259,auto_approve,"Elevated risk driven by: unusually low order value, beauty category, UPI payment"
1,0.124080788295832,0.1209913017843309,auto_approve,"Elevated risk driven by: home category, unusually low order value, UPI payment"
0,0.1468308659047776,0.1971705792322342,auto_approve,"Elevated risk driven by: large discount, home category, grocery category"
0,0.0619578942103552,0.0613820063551688,auto_approve,"Elevated risk driven by: tier3 delivery area, UPI payment, grocery category"
0,0.0616642924849326,0.0847615592837517,auto_approve,"Elevated risk driven by: beauty category, UPI payment, grocery category"
