order_id,customer_id,order_date,order_value,category,discount_pct,payment_method,is_first_time_buyer,customer_past_orders,customer_past_return_rate,delivery_pincode_tier,size_variant_flag,days_to_deliver,time_of_day_ordered,_latent_propensity,p_return_true,returned
89eb8464-0d08-4c62-acd0-8a4bb14516c5,cd22e339-d3f8-4cc3-a7e9-96ec53435b80,2025-10-26,660.17,fashion,0.457,UPI,1,0,,tier2,1,5,evening,0.1965713354260339,0.6744,1
a64e17ee-0a09-4c60-a2f6-c22dc37c0021,26a2a8f1-fd8f-4235-a9c7-77f65704c530,2025-10-27,250.0,beauty,0.442,COD,1,0,,metro,1,4,afternoon,0.24597285000833133,0.7219,1
625dd2f8-f7d3-436e-a117-8a9d6e47826f,b86ee3a9-928c-4ec5-8783-0beb41950f27,2025-05-18,3815.33,beauty,0.251,COD,1,0,,metro,1,5,afternoon,0.05573145024510638,0.3782,0
2bc845d9-f392-4693-8e46-6e1ddb480b87,80f51681-2009-48ac-926e-7b7901f96486,2025-02-03,1167.26,electronics,0.106,UPI,1,0,,tier3,0,6,evening,0.025007063694987345,0.1127,0
6ab9e8ae-21a9-462c-8b1d-fe451fddd67d,6bf452e9-0173-469d-bfec-d17e576fd561,2025-02-23,1429.91,fashion,0.281,UPI,1,0,,metro,1,2,afternoon,0.11826527161057414,0.2368,1
ee30d5a1-6f9b-45f5-857d-dca5d8146fba,e90f2e94-525b-47c4-b592-56daaf0983cc,2025-06-16,250.0,fashion,0.463,COD,1,0,,metro,1,2,afternoon,0.20763912883986363,0.7522,0
3bdae35a-3037-4225-ae96-706fbd2fd5eb,544b57dd-aae8-4d49-a2dc-9382a2b7ff69,2025-05-20,488.28,grocery,0.274,COD,1,0,,metro,0,2,evening,0.05655306904883348,0.3334,0
1c742e1c-b34f-49f1-92a8-ee4b7d8a75e0,b0694581-e5bf-4757-913a-46834d324ff0,2025-04-23,250.0,electronics,0.045,UPI,1,0,,metro,0,7,evening,0.2365731909103324,0.0727,0
3f3ecec5-efef-4113-b91d-0965d8ca3589,ec11d559-7980-4914-89e3-b56e72adba0b,2025-04-22,1294.33,grocery,0.607,UPI,1,0,,tier2,0,2,evening,0.1561219227039281,0.058,0
951b76ff-b8eb-4964-98d8-7c4632c96261,8ea8ec03-416f-4438-a527-3c864c97142a,2025-03-30,2385.45,home,0.154,card,1,0,,tier2,0,2,morning,0.13620156896909216,0.1213,1
02b9fec7-1fbc-4889-abf2-8a95411d8851,8c24e923-2dbf-4f43-b0b2-6e851d21fa34,2025-07-16,13706.38,home,0.357,UPI,1,0,,tier2,0,4,afternoon,0.10820090543681238,0.0633,0
7de2e595-f02a-4eb0-a860-8ae3d235ff13,92f8f8f3-1a19-41b0-9888-9ad14e0b35ba,2025-06-30,1324.98,home,0.082,netbanking,1,0,,metro,0,2,evening,0.14720873128711998,0.1624,1
36e07e2f-daf5-498b-be1a-09d94ef5bbcb,8c24e923-2dbf-4f43-b0b2-6e851d21fa34,2025-09-16,922.04,home,0.416,UPI,0,1,0.119,metro,0,2,morning,0.10820090543681238,0.1285,0
